 7 7 10 7 4 2 2 6 5
 10 10 8 10 5 1 1 2 2
 6 6 10 5 3 2 2 1 5
 3 2 9 5 2 1 1 3 3
 8 8 6 7 5 1 3 2 2
 7 7 6 7 5 2 2 1 1
 9 4 5 10 2 1 1 2 3
 9 5 6 10 2 1 1 2 3
 7 7 8 9 4 1 2 5 6
 6 10 10 10 5 5 4 3 3
 7 8 10 7 5 2 2 3 1
 8 9 7 7 6 2 1 3 3
 9 8 7 8 6 2 2 1 1
 7 8 4 8 7 1 1 2 3
 9 8 8.5 10 8.5 7 7 3 7
 10 9 5 8 5 2 2 6 6
 10 10 5 10 6 1 1 3 3
 7 8 7 9 5 4 4 3 3
 8 8 5 5 3 5 1 2 6
 10 10 8 10 7 2 2 3 3
 7 7 6 8 5 2 2 6 6
 9 9 8 9 7 2 2 3 3
 10 8 5 8 5 1 2 3 6
 8 9 5 7 3 1 1 2 2
 7 5 5 5 4 2 2 1 1
 7 9 10 9 7 2 2 1 5
 7 6 10 7 4 1 1 3 3
 4 3 7 3 5 2 3 1 1
 7 7 10 7 5 5 2 3 3
 6 7 9 7 6 2 2 1 1
 7 8 8 9 5 2 2 1 5
 7 10 8 7 6 6 2 1 3
